"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
3122 5 4031 2154 1453 623 1178 8607 2094 4890 10114 2016 3122 1977 5385 5684 5165 4023 3781 11093 9408 11030 17380 13503 1150 623 1855 1972 1765 1420 1295 3779 3268 3764 5893 4579 1972 1354 3530 3712 3400 2603 2486 7314 6140 7266 11487 8924 40287 0.0782037127661582 0.000125531898992676 0.0973680275215303 0.0519808506389855 0.0361291302399528 0.0162322927903168 0.0291906484795067 0.216741106649524 0.0523323107171085 0.120725712495289 0.250372016574103 0.0505986592285324
3035 25 4178 2229 1349 554 1517 8742 2299 5114 8519 2683 3035 1861 5457 5891 5182 3952 4052 11416 9775 11502 16127 13292 1199 582 1795 2058 1784 1417 1378 3940 3387 3894 5518 4487 1836 1279 3662 3833 3398 2535 2674 7476 6388 7608 10609 8805 40244 0.0764611608607291 0.000734938721526278 0.105635658211656 0.0561914017073099 0.0337738812010067 0.0134113226505565 0.037627615387726 0.215086027509777 0.0560834302468296 0.126546691667285 0.211889626439888 0.0665582453957101
3252 3 3975 2242 1456 825 1019 8967 2237 4867 9152 2870 3252 2048 5413 5770 5167 4231 3757 11412 9752 11320 16582 13851 1207 610 1885 2059 1761 1493 1312 3897 3299 3890 5601 4700 2045 1438 3528 3711 3406 2738 2445 7515 6453 7430 10981 9151 40865 0.0795690436052036 0.00023208217208283 0.0959722316073779 0.053915935272735 0.0366151288766216 0.0197229166170396 0.0254067105108072 0.216904124105596 0.0552474065850689 0.120782020412927 0.225773221392301 0.0698591788422397
2988 52 4067 2045 1483 832 1071 8829 2207 4311 9379 3054 2988 1849 5311 5558 5118 4164 3770 11306 9647 10592 16294 13669 1191 605 1798 1923 1786 1465 1293 3866 3366 3677 5679 4690 1797 1244 3513 3635 3332 2699 2477 7440 6281 6915 10615 8979 40318 0.0730445135258036 0.00131586778389802 0.102880439605669 0.0523137626527203 0.0349963773659513 0.0200670256885464 0.0255400864946671 0.219284510356296 0.0554671747621661 0.110351199100866 0.229608253057966 0.0751307896054503
3141 55 4394 1538 1584 843 701 9068 2369 4785 9298 2501 3141 2047 5822 5364 5090 4197 3484 11338 9734 11195 16619 13360 1149 619 1996 1858 1736 1414 1214 3973 3324 3874 5760 4564 1992 1428 3826 3506 3354 2783 2270 7365 6410 7321 10859 8796 40277 0.0796633038127968 0.00115144623636106 0.108412585258385 0.0390450541978831 0.0396841775736226 0.0204511686074861 0.0170139530656809 0.226718445630441 0.0583158415901982 0.117895813265319 0.230295188465022 0.0613530222968044
3010 51 3843 2047 1534 873 617 9310 2368 4633 9388 1994 3010 1933 5191 5464 5132 4278 3468 11536 9976 11140 16691 12882 1128 585 1774 1866 1727 1427 1242 3928 3469 3837 5803 4442 1882 1348 3417 3598 3405 2851 2226 7608 6507 7303 10888 8440 39668 0.076139124122124 0.00153044736015018 0.0995947843354245 0.0516439922337333 0.0370571347841019 0.0215370587763195 0.0161701921103127 0.236793868976786 0.0587468706034485 0.116252518773976 0.232981272820044 0.0515527351035794
3030 11 3916 2179 1591 890 1070 9178 1772 4718 9472 2147 3030 1875 5197 5555 5196 4278 3898 11730 9483 10854 16617 13104 1166 594 1821 1950 1808 1450 1346 4019 3347 3709 5660 4548 1864 1281 3376 3605 3388 2828 2552 7711 6136 7145 10957 8556 39974 0.0769877005315972 0.000309366360456089 0.100809818011874 0.0543389128753207 0.0403106793593522 0.0209693119253768 0.0276459576042787 0.229374793007811 0.0435741213987927 0.115930311791278 0.236776856010168 0.0529721711236947
3076 15 3929 2275 1164 1048 948 9304 1566 4810 9583 2407 3076 1929 5275 5705 4860 4199 3711 11736 9316 10856 16694 13373 1162 583 1845 2009 1709 1436 1279 3986 3270 3745 5728 4630 1914 1346 3430 3696 3151 2763 2432 7750 6046 7111 10966 8743 40125 0.0752853030028209 0.000256957266957897 0.0976310541282902 0.0556152126200881 0.0284779916817811 0.0264814672182655 0.0242224610545286 0.233685142876795 0.0388782643884238 0.120079779912832 0.238539116878095 0.0608472489711214
3177 25 4074 2247 1209 951 938 9318 1989 4245 9459 1898 3177 1981 5460 5879 5076 4278 3717 11752 9776 10709 16471 12675 1221 595 1828 2012 1749 1499 1283 3965 3312 3697 5694 4463 1956 1386 3632 3867 3327 2779 2434 7787 6464 7012 10777 8212 39530 0.0824400083417469 0.00057821492315953 0.102121953297798 0.055452198004947 0.0294101577247217 0.0246274679056817 0.0240101351807927 0.236219182482422 0.0496817844906095 0.10702155480495 0.239332538598722 0.0491048042444486
3101 14 3807 2408 1210 1080 910 9064 2370 4405 9964 1486 3101 1937 5174 5805 5048 4414 3821 11567 9935 10938 17112 12746 1178 570 1777 1967 1714 1503 1318 4002 3402 3790 5852 4481 1923 1367 3397 3838 3334 2911 2503 7565 6533 7148 11260 8265 39819 0.0757001991350546 0.00031275739881848 0.0986464100551431 0.0601555713373125 0.0309527357151371 0.0257332183903815 0.0232833939952279 0.229307016085595 0.0588656444858395 0.108082509465162 0.253122584241626 0.0358379596947026
