"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
3140 23 3946 2536 1221 1381 1207 8345 2744 4767 9927 2500 3140 1823 5105 5635 4660 4152 3759 10646 9248 10372 16207 12528 1340 664 2006 2196 1889 1600 1458 4142 3643 4092 6179 4917 1800 1159 3099 3439 2771 2552 2301 6504 5605 6280 10028 7611 41737 0.0738705805888622 0.000640881465570823 0.0973704135806576 0.0606180714576189 0.0290994287808741 0.0331463121215535 0.0300810570742796 0.198858544487571 0.066247681631296 0.114236855260123 0.237595503488984 0.0582346700626094
2955 25 3928 2093 1228 1287 1074 8382 2666 4691 9406 2953 2955 1769 5089 5187 4326 3911 3433 10500 9028 10215 15684 12611 1211 608 1995 2089 1702 1552 1315 4138 3504 3937 6026 4901 1744 1161 3094 3098 2624 2359 2118 6362 5524 6278 9658 7710 40688 0.0735488762253369 0.000610089783069149 0.0950106083221041 0.0505218423084149 0.0306254790864493 0.0308519767843011 0.0274917124524824 0.209749612671217 0.0652840186982476 0.116305402516743 0.227917763858684 0.0720826172929509
2876 8 4027 2314 1537 1072 1081 8259 2874 4703 9086 3298 2876 1644 5068 5429 4808 4042 3586 10490 9254 10359 15476 12729 1240 603 1953 2158 1838 1537 1355 4110 3598 3969 6045 4960 1636 1041 3115 3271 2970 2505 2231 6380 5656 6390 9431 7769 41135 0.0696618580865322 0.000205019508294167 0.0957816512553891 0.0572151386498949 0.0385473733970662 0.0268871519293989 0.0249879923798338 0.202987056688277 0.0703760316140122 0.111528753738054 0.223783877190673 0.0780380955625749
3217 3 4008 2342 1417 927 1210 8052 3393 3943 9657 3134 3217 1885 5245 5585 4878 3951 3608 10227 9662 9887 15679 12745 1335 648 2002 2124 1854 1553 1433 3958 3718 3865 6068 4952 1882 1237 3243 3461 3024 2398 2175 6269 5944 6022 9611 7793 41303 0.0779254213658434 3.80732382399255e-05 0.0969909592157946 0.0565137972308079 0.0363524924325555 0.0223606949892257 0.029476996973786 0.19169598867827 0.0815562695246372 0.0958058421173879 0.234450166141581 0.0768332980918707
3100 2 3988 2367 1893 798 801 8445 3151 4058 9648 2924 3100 1866 5195 5510 5255 4081 3286 10430 9473 9875 15598 12372 1236 659 2052 2148 1972 1596 1301 4108 3656 3925 6150 4852 1864 1207 3143 3362 3283 2485 1985 6322 5817 5950 9448 7520 41175 0.0760823451922915 7.03749240632903e-05 0.0960764435390313 0.0576093248881659 0.0460327910159814 0.0203931949434181 0.0192447869406813 0.203272849195357 0.0774908312844386 0.101053018714447 0.232569761561078 0.0701042778010467
2914 18 3931 1868 1931 1065 1183 8122 3241 4255 9412 2853 2914 1717 5062 4964 4906 4044 3683 10379 9489 10114 15622 12320 1215 586 1966 1989 1927 1544 1426 4131 3630 3904 6155 4885 1699 1131 3096 2975 2979 2500 2257 6248 5859 6210 9467 7435 40793 0.0712292741859745 0.00026587626632845 0.096434367194356 0.0455354133869951 0.0475328339930124 0.0257696866679344 0.0291097250755707 0.19861603692074 0.0781599484456728 0.104466859294136 0.232617644201839 0.0702623343674406
3109 30 3684 2389 1488 982 1144 8856 2773 4225 9134 2721 3109 1785 4847 5363 4787 3880 3523 11023 9524 10076 15240 12093 1354 622 1873 2064 1889 1501 1356 4272 3673 3970 5868 4771 1755 1163 2974 3299 2898 2379 2167 6751 5851 6106 9372 7322 40535 0.077326162701921 0.00082882521357408 0.0943373260061907 0.0588749500706654 0.0354457274277723 0.0240007579526237 0.0265711452471975 0.213951086445989 0.0708360630293338 0.105840916044923 0.227429468510316 0.0645575713494931
2976 58 3540 2447 1506 1328 864 8335 2713 4741 9590 2558 2976 1784 4702 5325 4730 4239 3511 10494 9113 10328 15870 12206 1250 622 1824 2101 1819 1592 1352 4094 3526 4048 6222 4800 1726 1162 2878 3224 2911 2647 2159 6400 5587 6280 9648 7406 40656 0.0722525134498874 0.00179688414012847 0.0860396725399796 0.0584329523173165 0.0359743419350847 0.0323867823595956 0.022074715374761 0.204739778647766 0.0681499195108375 0.119135315501301 0.236829832128792 0.0621872920945506
3103 3 3887 2554 1117 1349 909 8353 3049 4510 9276 2830 3103 1821 5056 5659 4616 4173 3469 10508 9401 10261 15608 12396 1285 652 1951 2160 1792 1613 1314 4156 3650 3929 6042 4796 1818 1169 3105 3499 2824 2560 2155 6352 5751 6332 9566 7600 40940 0.0750528664737702 8.26015239078943e-05 0.0950637429464786 0.0599284369386088 0.0270002603455047 0.0337023518989491 0.022794599947849 0.203982160466311 0.0730978686562682 0.108693773932775 0.229755392287888 0.0708459445816898
3202 0 3593 2566 1135 1114 1082 8626 2562 4926 8977 2681 3202 1872 4826 5461 4570 3900 3474 10707 9011 10416 15355 11971 1330 639 1931 2026 1784 1508 1393 4258 3521 4038 6065 4709 1872 1233 2895 3435 2786 2392 2081 6449 5490 6378 9290 7262 40464 0.0790534415761822 4.56474704615052e-05 0.0880737539348495 0.0628135929987573 0.0275663201052963 0.0272684388039113 0.0259087256516137 0.216271891441391 0.0648735814074312 0.12007374115421 0.221615344981005 0.0664355204748904
