"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
3421 1 4584 2499 1856 809 1299 9228 2415 5658 10129 2853 3421 2036 5952 6221 5789 4437 4086 11820 9777 11779 17555 13869 1386 668 2230 2288 2161 1650 1494 4458 3656 4353 6539 5254 2035 1368 3722 3933 3628 2787 2592 7362 6121 7426 11016 8615 44752 0.0765662983108198 2.74612702007713e-05 0.0996045461659082 0.0555351614368268 0.040665688960289 0.0182992280224799 0.0297523901791348 0.205830982981388 0.0541571833946831 0.1270362641268 0.227901484168891 0.0646233109825791
3094 11 4480 2427 1633 1133 829 10077 2300 4858 10482 2997 3094 1820 5648 5954 5316 4463 3616 12296 10102 11188 17410 13908 1285 652 2121 2271 1986 1676 1397 4494 3772 4260 6499 5207 1809 1168 3527 3683 3330 2787 2219 7802 6330 6928 10911 8701 44321 0.0704561472326774 0.00019538953089621 0.099736831325616 0.0541379520845879 0.0365277343083959 0.0254278035738101 0.0194257558539804 0.226319325593632 0.0511512550813894 0.111399509962427 0.237101755845346 0.0681205396072417
3131 39 4144 2617 1674 990 1237 9852 2327 5352 10401 2800 3131 1916 5358 5945 5357 4419 3989 12334 10070 11678 17716 13910 1254 702 2030 2262 1928 1667 1507 4591 3744 4363 6606 5181 1877 1214 3328 3683 3429 2752 2482 7743 6326 7315 11110 8729 44564 0.0712455756585427 0.000826214294755087 0.0950561482325165 0.0577041167494989 0.037169769044269 0.0213490184597957 0.0280547272367253 0.218710860264374 0.0527575030576377 0.118805127989188 0.233667523936781 0.0646534150759155
3376 91 4192 2806 1402 1054 1720 9751 2048 4871 11019 2705 3376 2104 5569 6320 5403 4455 4479 12625 10002 11059 17898 13917 1363 727 2055 2319 2002 1696 1605 4671 3814 4180 6686 5203 2013 1377 3514 4001 3401 2759 2874 7954 6188 6879 11212 8714 45035 0.0755068197300054 0.00208584072294871 0.0930820182870475 0.0632166164450502 0.0315120337644596 0.0239240540491383 0.0383165242793487 0.214200401952855 0.0450846359229678 0.108840999272623 0.245315835119808 0.0589142204537471
3363 38 4301 2503 1246 1242 1447 10030 2084 4843 10831 2028 3363 2030 5627 6048 5010 4312 4087 12566 9991 11126 17795 13164 1371 704 2082 2284 1940 1672 1551 4659 3708 4162 6659 5030 1992 1326 3545 3764 3070 2640 2536 7907 6283 6964 11136 8134 43956 0.075027580208489 0.0010726369600271 0.0958174624891274 0.0560441491664068 0.0295171453835146 0.0290787137527488 0.0335095675323865 0.229214353924493 0.0482042243766273 0.109307141648797 0.245418713898982 0.0477883106584011
3321 4 4511 2327 1213 1234 1341 10303 1883 4821 10537 2928 3321 1937 5781 5936 4893 4303 3995 12822 9993 11071 17453 13836 1388 667 2172 2256 1824 1649 1476 4712 3743 4155 6545 5170 1933 1270 3609 3680 3069 2654 2519 8110 6250 6916 10908 8666 44423 0.077442912325625 8.1215720707062e-05 0.1021308878699 0.0512352463086689 0.0273726456827011 0.0275179723544419 0.0300505248085949 0.226837714913099 0.043466823012331 0.108178097078392 0.239818309834753 0.0658676500907856
3243 19 4390 2946 1178 1276 1333 10345 1940 4987 10761 2689 3243 1950 5658 6434 5201 4467 4126 12932 10159 11385 17858 13882 1312 682 2170 2411 2010 1674 1539 4713 3761 4288 6665 5254 1931 1268 3488 4023 3191 2793 2587 8219 6398 7097 11193 8628 45107 0.0722308072097242 0.00037399173986332 0.0969575651161406 0.0638790246289476 0.0256710983673547 0.0284192798345594 0.0294076955972995 0.228770882472657 0.0443098836291436 0.109581714698692 0.241091224930028 0.0593068317755897
3380 33 4345 3109 766 1361 1042 10672 2102 5034 11120 2422 3380 2057 5684 6628 4950 4390 3777 13062 10323 11451 18245 13900 1356 718 2165 2444 1921 1655 1387 4841 3906 4326 6767 5314 2024 1339 3519 4184 3029 2735 2390 8221 6417 7125 11478 8586 45386 0.0752347545501166 0.000837952060468251 0.0955785524554073 0.0691809082989369 0.0158210301543748 0.0299020716367898 0.0238238133507088 0.233257416901154 0.04685123305078 0.109486509272711 0.245666468927649 0.0543592893409033
3466 18 4203 2783 1022 1307 949 10320 2783 4893 10777 2884 3466 2099 5556 6268 4993 4368 3693 12599 10713 11470 17988 14221 1385 746 2071 2297 1932 1624 1414 4669 4136 4259 6651 5279 2081 1353 3485 3971 3061 2744 2279 7930 6577 7211 11337 8942 45405 0.076431400673536 0.000305178891260943 0.0904778768894905 0.059982813046342 0.021721973144686 0.0269980844013204 0.0203524164010157 0.231233448345186 0.0604014200695832 0.108756416067599 0.239363194239803 0.0639757778301766
3356 86 4338 3013 1075 889 1080 9628 3160 4964 10693 2637 3356 2089 5725 6605 5233 4207 3683 11882 10612 11581 17941 13831 1353 702 2133 2447 1915 1604 1429 4430 3995 4333 6747 5188 2003 1387 3592 4158 3318 2603 2254 7452 6617 7248 11194 8643 44919 0.0775091898487466 0.00208133984549681 0.0950422467437631 0.0675043643420941 0.0230870698131702 0.0203644386155914 0.0241645869749357 0.215532412436846 0.0713432381966458 0.110354056618813 0.236603809318583 0.0564132472453142
3397 5 3947 3065 1274 1008 1126 9489 3365 5149 10221 3049 3397 2007 5265 6301 5266 4266 3788 11819 10697 11905 17678 14152 1395 689 2029 2309 2008 1604 1458 4487 3941 4448 6575 5245 2002 1318 3236 3992 3258 2662 2330 7332 6756 7457 11103 8907 45095 0.0741319418504904 0.000122651356304684 0.0871503312200619 0.0687734617362828 0.0290924629247791 0.0218122711543298 0.0259686292645446 0.210358486131432 0.0741958731905575 0.11459217674205 0.226078767690053 0.067722946739114
3662 21 4083 2698 1700 755 1207 9447 3085 4711 10231 3272 3662 2219 5540 6136 5504 4244 3849 11857 10543 11350 17286 14169 1464 762 2102 2332 2015 1602 1439 4399 3904 4295 6389 5301 2198 1457 3438 3804 3489 2642 2410 7458 6639 7055 10897 8868 44872 0.0827218211897963 0.000582024992660548 0.0916171935622613 0.0618803407548953 0.0363575573541585 0.0162064032389504 0.0268708600559796 0.210233020097329 0.0689911182265601 0.104582280458131 0.227777439922787 0.0721799401464901
3582 80 4118 2623 1499 1318 1372 9424 2852 4774 10059 3308 3582 2243 5596 6116 5319 4650 4262 12051 10406 11292 17124 14011 1419 765 2103 2296 1987 1760 1635 4497 3888 4227 6421 5175 2163 1478 3493 3820 3332 2890 2627 7554 6518 7065 10703 8836 45009 0.0794319794392022 0.00146489923399279 0.0897294182772758 0.0569277988441204 0.0341993351088753 0.0289837717198404 0.0306002777049734 0.209969200362495 0.0635057452203786 0.107950182853146 0.223331954883016 0.0739054363526842
3172 154 4484 2612 1247 1215 1391 9285 2739 5016 10603 3373 3172 2016 5804 6257 5184 4415 4128 11886 10195 11379 17736 14459 1310 696 2159 2320 1984 1678 1527 4430 3832 4246 6650 5436 1862 1320 3645 3937 3200 2737 2601 7456 6363 7133 11086 9023 45291 0.070395654585994 0.00400327673986497 0.0968178120721695 0.0590568674738371 0.0278292576495071 0.026170407309838 0.02944776547671 0.203113083786368 0.0610448186892716 0.110332023531657 0.237119864174004 0.0746691685107786
3315 167 4445 2480 1691 972 1498 9225 2477 5177 10566 3045 3315 2130 5833 6117 5474 4394 4186 11879 9890 11262 17590 14033 1352 742 2196 2334 2052 1706 1532 4466 3805 4238 6602 5232 1963 1388 3637 3783 3422 2688 2654 7413 6085 7024 10988 8801 45058 0.0711648738288172 0.0035905920653254 0.100415647239794 0.0550401587863038 0.0377791486318619 0.0204149912853632 0.0328376059811531 0.202536740925677 0.0564462844325517 0.113195286595605 0.238662179577742 0.0679164906498053
3085 54 4704 2489 1600 780 1264 9530 3056 4984 10065 3157 3085 1874 5938 6214 5541 4239 3876 11955 10479 11509 17309 13940 1265 640 2213 2273 2082 1627 1451 4532 3954 4265 6526 5084 1820 1234 3725 3941 3459 2612 2425 7423 6525 7244 10783 8856 44768 0.068903223112482 0.00111667779390201 0.107043711480775 0.0580281962897896 0.0360697382678173 0.0169415284392961 0.0297187185567631 0.210389494588609 0.0667952391798186 0.111641215630613 0.222728309344327 0.070623947315807
3352 26 4054 2545 1704 765 1435 9239 3341 5268 10297 2629 3352 2037 5379 5911 5410 4200 4069 11751 10647 11948 17861 13760 1341 712 2013 2205 1975 1566 1557 4445 3967 4384 6730 5195 2011 1325 3366 3706 3435 2634 2512 7306 6680 7564 11131 8565 44655 0.0758622922198306 0.000567458179738843 0.0927779872599773 0.0556817577257641 0.0383705255825518 0.0174511088844777 0.0327529894652011 0.207353504440067 0.0749602925066803 0.116820577517493 0.230132373822968 0.0572691323952496
3320 14 4114 2502 1500 821 1571 9549 2722 5111 10067 3447 3320 2019 5459 5933 5232 4124 4114 12156 10188 11526 17281 14143 1315 674 2028 2201 1929 1581 1507 4690 3773 4312 6585 5302 2005 1345 3431 3732 3303 2543 2607 7466 6415 7214 10696 8841 44738 0.0763262896804552 0.000287179663138967 0.09219154245549 0.0542617115476198 0.0332195263264691 0.0182993858098248 0.0354092648196985 0.213808988828246 0.0614600463600682 0.114769147304733 0.22327549516371 0.0766914220405467
3403 43 4335 2542 1346 910 1453 9361 2631 5141 9953 3489 3403 2066 5691 6110 5149 4143 4016 11896 10083 11394 17063 14108 1380 710 2123 2307 1916 1580 1481 4444 3830 4284 6444 5217 2023 1356 3568 3803 3233 2563 2535 7452 6253 7110 10619 8891 44607 0.0762591243796222 0.00100098403520564 0.0946710800409545 0.0572465597813058 0.0298695415662606 0.0192043934323883 0.0326397984320598 0.213128947057254 0.0587894804213846 0.1127897011988 0.224002671315968 0.0803977183387957
3252 24 4298 2860 1482 999 1256 9861 2202 5385 10342 3216 3252 1955 5604 6372 5465 4375 3979 12367 9990 11588 17604 14070 1321 649 2092 2389 2089 1652 1473 4579 3787 4326 6750 5341 1931 1306 3512 3983 3376 2723 2506 7788 6203 7262 10854 8729 45177 0.0736549923214356 0.000541622634450373 0.0949841800714179 0.0615677083761226 0.032521201355671 0.0225926410227227 0.0284775730021297 0.222222866957259 0.0493281090571755 0.120348287616414 0.224014899334165 0.069745918251037
3403 9 4094 2700 1530 930 1458 10302 2071 5009 10742 3168 3403 2023 5447 6100 5359 4324 4141 12860 10157 11371 17806 14229 1389 670 2047 2271 1965 1641 1583 4774 3795 4307 6745 5368 2014 1353 3400 3829 3394 2683 2558 8086 6362 7064 11061 8861 45416 0.076498657037298 0.000281071308226473 0.0894194640841838 0.059326956241208 0.0332250003484986 0.0203423913031458 0.0313327991313946 0.228810924398589 0.0455166663526829 0.109475585159018 0.235789690450235 0.06998079418552
3290 20 4081 2963 1235 1156 1098 9768 2189 5264 10416 3145 3290 1985 5403 6325 5187 4395 3884 12188 9799 11364 17484 14058 1325 663 2041 2373 1948 1609 1464 4578 3699 4296 6571 5109 1965 1322 3362 3952 3239 2786 2420 7610 6100 7068 10913 8949 44625 0.0752276673138782 0.000611519296924434 0.0915960732200643 0.066022653779237 0.0281843267306011 0.0252789500655318 0.0252065180023187 0.217844779126427 0.0494002103134563 0.120474744633869 0.23056364235605 0.0695889151616416
3543 15 3967 2930 1397 1233 1362 9705 1952 5301 10761 2788 3543 2194 5412 6285 5314 4531 4205 12402 9781 11397 17953 14005 1364 749 2057 2368 2016 1688 1508 4573 3685 4205 6736 5296 2179 1445 3355 3917 3298 2843 2697 7829 6096 7192 11217 8709 44954 0.0777416771912034 0.000283721009598728 0.0897441495714815 0.0640539687549803 0.0305215014540899 0.0270250917417949 0.03114136339953 0.215282356277061 0.0446400665833397 0.115674782825554 0.241113179009969 0.0627781421813984
3421 25 4550 2564 1311 1238 1122 10348 2151 5484 10226 2856 3421 2050 5888 6252 5178 4474 3893 12781 10142 11829 17698 13956 1396 712 2200 2385 1942 1703 1460 4790 3797 4357 6598 5270 2025 1338 3688 3867 3236 2771 2433 7991 6345 7472 11100 8686 45296 0.0752785158005048 0.000562248249978152 0.0998294256492309 0.0562609853336766 0.0294233725355646 0.0271212296452253 0.0237604116363977 0.232227772878744 0.0471984118310477 0.120202391661851 0.225200097652419 0.0629351371253602
3205 49 4215 2626 1252 1270 1302 9548 2494 5110 10684 2932 3205 1961 5508 6071 5047 4400 4037 12099 10077 11409 17832 13999 1293 668 2063 2276 1917 1665 1486 4516 3778 4261 6765 5301 1912 1293 3445 3795 3130 2735 2551 7583 6299 7148 11067 8698 44687 0.0714442222702769 0.00116871192673145 0.0952638269709404 0.0604508847799462 0.0296194025379129 0.0287262837162573 0.0300863834537786 0.213702553900023 0.0548978683859681 0.115540806911999 0.235863732140642 0.0632353230055237
3581 41 4230 2616 1317 1018 1179 10449 2651 4760 10024 2767 3581 2205 5682 6166 5229 4355 3887 12818 10752 11545 17172 13494 1417 753 2132 2254 1892 1647 1518 4717 3967 4397 6445 5076 2164 1452 3550 3912 3337 2708 2369 8101 6785 7148 10727 8418 44633 0.0819839787455102 0.00120136265311508 0.0942168538697012 0.057662818290995 0.0306387685323663 0.0226170823105509 0.0269759798084242 0.231996380670996 0.0609541018772898 0.107172160773309 0.22314452416901 0.0614359882987323
3252 15 4365 2855 1307 1374 1145 9569 2199 5519 9843 3360 3252 1947 5610 6359 5341 4728 4143 12204 9869 11612 17129 14044 1320 702 2106 2325 1987 1730 1508 4534 3776 4326 6445 5316 1932 1245 3504 4034 3354 2998 2635 7670 6093 7286 10684 8728 44803 0.0718888395486928 0.000255717933231145 0.0963035595538579 0.0638350190684209 0.0288159552320312 0.0311511326957688 0.0258208696107073 0.214034014302375 0.0490680314538299 0.125187311227341 0.218609765534471 0.0750297838392726
