"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
3246 4 3832 2722 1083 1351 951 9055 2503 4787 9824 3165 3246 1922 5049 5867 4698 4210 3574 11255 9394 10599 16227 13088 1328 705 1904 2252 1839 1587 1374 4364 3582 4196 6304 5015 1918 1217 3145 3615 2859 2623 2200 6891 5812 6403 9923 8073 42523 0.0765266083068223 7.68723126118117e-05 0.0907500071622697 0.0618248211695291 0.024770865319802 0.0323427978542411 0.0230511516517459 0.211252261605727 0.0590656086233223 0.111386446448205 0.234693976312143 0.074258583233581
3097 7 4008 2397 1250 1036 1212 8843 2519 5000 9824 2740 3097 1832 5184 5628 4725 3964 3611 11028 9338 10796 16493 12870 1272 656 1953 2153 1797 1565 1426 4209 3542 4127 6363 4948 1825 1176 3231 3475 2928 2399 2185 6819 5796 6669 10130 7922 41933 0.0743276401157788 0.00012873260463528 0.0938951619314302 0.0552168229532909 0.0301793526742332 0.0254750246801128 0.0287070617535528 0.212374108495846 0.0622752654110767 0.117934072645643 0.234863936843799 0.0646228198906022
3031 12 4204 2249 1216 1036 1428 8930 2182 5014 9302 3248 3031 1770 5348 5538 4593 3851 3813 11289 9077 10574 15778 12958 1273 626 2059 2161 1778 1466 1454 4394 3517 4098 6068 4916 1758 1144 3289 3377 2815 2385 2359 6895 5560 6476 9710 8042 41852 0.0700801482473572 0.000617072693238556 0.0988753002560698 0.053969502219501 0.0279231182129213 0.0264630047854133 0.0339189719694335 0.211811698199987 0.0525235864826914 0.120066235948005 0.223565324749191 0.0801860362361903
3118 2 4088 2574 1096 1006 1256 8301 2540 4948 9754 3478 3118 1802 5270 5838 4727 3910 3645 10520 9000 10358 16050 13333 1318 620 2006 2207 1823 1521 1426 4060 3590 4062 6195 5116 1800 1182 3264 3631 2904 2389 2219 6460 5410 6296 9855 8217 42161 0.0740463939158042 8.16599939634784e-05 0.0964090371614916 0.0609436490429245 0.0249255265914862 0.0249093908421294 0.0306187893370258 0.199829579330256 0.0609462052100235 0.116168170670989 0.230277171602648 0.0808444263012584
3139 20 3626 2946 1012 1033 1279 9024 2448 4987 9511 3365 3139 1885 4878 5927 4681 3900 3651 11283 9418 10730 16114 13209 1274 633 1897 2258 1814 1528 1392 4313 3675 4127 6270 5039 1865 1252 2981 3669 2867 2372 2259 6970 5743 6603 9844 8170 42390 0.0760463133484228 0.000591164193382295 0.0871232021986479 0.068691360114906 0.0238532302368215 0.0252277380245716 0.0308432652848356 0.210201370975 0.0561786108026254 0.114265841016406 0.226828607350642 0.0801492964537395
3114 45 3862 2582 1336 1181 894 9152 2528 4653 9304 3489 3114 1841 4992 5694 4852 4139 3453 11313 9423 10394 15736 13157 1318 711 1880 2178 1894 1580 1292 4418 3682 3962 6068 5049 1796 1130 3112 3516 2958 2559 2161 6895 5741 6432 9668 8108 42140 0.0753913806866194 0.000969710371353241 0.0889227649526903 0.0614706682026368 0.0301818428612415 0.0283146426999181 0.020708323323053 0.213756935405531 0.0598131216629948 0.113032426721881 0.222979383548354 0.0844587995637273
3314 23 3905 2624 1616 890 1012 9561 2116 4677 9661 3229 3314 2013 5249 5822 5234 4188 3546 11727 9413 10472 16126 13093 1324 669 2051 2204 1936 1654 1380 4430 3618 4007 6262 5151 1990 1344 3198 3618 3298 2534 2166 7297 5795 6465 9864 7942 42628 0.0770660677578282 0.000494865825634345 0.0915411855304192 0.061244849529779 0.0367084827779544 0.0212459614519379 0.0236489090669943 0.225639635479665 0.0491605398154848 0.110372802168757 0.226809356639639 0.0760673439559064
3003 3 3973 2235 1750 843 1292 8919 2555 4848 9986 3127 3003 1731 5100 5306 4929 3942 3698 11212 9524 10604 16539 13282 1275 604 2029 2127 1830 1536 1405 4243 3768 4051 6384 5122 1728 1127 3071 3179 3099 2406 2293 6969 5756 6553 10155 8160 42534 0.0681100727807556 0.000102476761529856 0.0917185929917669 0.0514693727392794 0.0418827890201985 0.0207953760346515 0.0307079934730527 0.209503879269424 0.0600408691406296 0.114036384853114 0.238589314893389 0.0730428780422085
3216 18 3919 2477 1641 764 1119 9052 3069 4459 9785 2890 3216 1875 5135 5629 5126 3968 3502 11206 9864 10549 16231 12847 1359 659 1983 2144 1922 1585 1348 4411 3774 4103 6274 4960 1857 1216 3152 3485 3204 2383 2154 6795 6090 6446 9957 7887 42409 0.0774246503205221 0.0004262274747202 0.0925325154447767 0.0585781911632903 0.038421172053525 0.0173886842038024 0.0271977054647435 0.211615243794688 0.0716118290800995 0.106052536016114 0.228824009200972 0.069927235782747
3065 18 4033 2199 1935 595 1228 9085 2258 5036 9901 2149 3065 1796 5225 5430 5207 3851 3624 11316 9215 10729 16509 12302 1287 604 1994 2158 1951 1455 1393 4359 3522 4121 6356 4760 1778 1192 3231 3272 3256 2396 2231 6957 5693 6608 10153 7542 41502 0.074020132908734 0.000471968963396432 0.0950406432789809 0.0530323859234222 0.0462247786724968 0.0145438782059375 0.0301041247389091 0.217704806302184 0.0531342780107198 0.124667902344326 0.239064391237319 0.0519907094135746
3034 11 4385 2243 1655 638 1186 9002 2335 4625 9970 2703 3034 1770 5525 5705 5224 3856 3538 11137 9116 10226 16221 12620 1275 630 2063 2136 2006 1504 1403 4356 3515 3975 6304 4910 1759 1140 3462 3569 3218 2352 2135 6781 5601 6251 9917 7710 41787 0.0730383635765269 0.000238309506124172 0.104082403712392 0.0534630347231795 0.039631808453889 0.0154771093037605 0.0279976676314356 0.216400686263164 0.0537691758024347 0.113433455278683 0.238069300676358 0.0643986850720526
2947 0 4342 2396 1594 756 1172 9227 2545 4572 9328 3258 2947 1691 5423 5749 5098 3908 3590 11421 9621 10533 15783 12988 1256 610 2070 2245 1946 1490 1396 4345 3660 4078 6053 4990 1691 1081 3353 3504 3152 2418 2194 7076 5961 6455 9730 7998 42137 0.0708743772961765 3.20106628656224e-05 0.103825891111393 0.05955668967392 0.0374334709092462 0.0180438368148951 0.0278629302082705 0.216197915918146 0.0638480686701146 0.106962087577738 0.220223555054216 0.0751391661030184
3089 28 4152 2348 1506 856 1228 8780 2479 4542 9314 3193 3089 1875 5371 5629 4943 3925 3588 10973 9222 10254 15536 12696 1242 656 2090 2192 1874 1565 1395 4230 3510 4032 6033 4842 1847 1219 3281 3437 3069 2360 2193 6743 5712 6222 9503 7854 41515 0.0753858355906061 0.000792395097551141 0.102258911642542 0.0592593884047362 0.0364537063627809 0.0209459557069827 0.0300737740324236 0.209812445526101 0.0586525269282492 0.108828615994713 0.218861519474085 0.078674925239229
3199 3 3957 2176 1863 745 1403 8678 2431 5207 8975 3328 3199 1865 5195 5356 5116 3925 3768 10995 9115 10778 15532 12772 1337 627 2015 2103 1936 1560 1451 4311 3544 4221 6088 4832 1862 1238 3180 3253 3180 2365 2317 6684 5571 6557 9444 7940 41965 0.0773831149247933 9.82602025933867e-05 0.0942297064501105 0.0522620982884514 0.0444190688729992 0.0172209292705734 0.0316696761806279 0.206951327308805 0.056570625376627 0.125222526268662 0.215105755601494 0.0788669112542637
3087 26 4140 2422 1413 857 1164 8992 2071 5648 8700 3644 3087 1832 5303 5666 4876 3827 3537 11157 8876 11116 15493 13005 1281 669 2059 2203 1906 1454 1372 4352 3408 4323 6132 5072 1806 1163 3244 3463 2970 2373 2165 6805 5468 6793 9361 7933 42164 0.0734148356776126 0.000601903848249882 0.0997329867540781 0.0567030621373696 0.0337213165012503 0.0194141051361103 0.027390646956945 0.212015591792948 0.0483328728044127 0.135381586803411 0.205305387994509 0.0879857035931034
3201 3 3891 2500 1639 895 1164 8930 2020 5186 9414 3211 3201 1888 5115 5637 5040 3984 3597 11089 8845 10511 15894 12971 1316 664 1978 2236 1951 1551 1438 4264 3520 4031 6134 5030 1885 1224 3137 3401 3089 2433 2159 6825 5325 6480 9760 7941 42054 0.0764369649483348 5.11805662912841e-05 0.0934312002516599 0.0587759115933935 0.0374143788646199 0.0218586076286102 0.0270863618372935 0.212069834740792 0.0474836833218911 0.125480024010655 0.223355270377501 0.0765565818589586
3121 4 4141 2358 1464 886 1175 9088 2288 5366 9172 2999 3121 1831 5319 5641 4930 3921 3564 11285 9220 10966 15937 12767 1294 653 2036 2175 1895 1532 1367 4353 3620 4201 6169 4883 1827 1178 3283 3466 3035 2389 2197 6932 5600 6765 9768 7884 42062 0.073397447140063 9.4321975617569e-05 0.101357493041805 0.0560812448390279 0.0358169370649275 0.0202624847917546 0.0286299479470791 0.216676898877181 0.0536037360679872 0.126358524278172 0.219584820709528 0.068136143266857
3075 52 4143 2221 1732 1004 913 9296 2215 5269 9291 3221 3075 1810 5304 5528 5089 4193 3488 11408 9185 10765 15913 13055 1317 649 1997 2171 1900 1618 1376 4438 3689 4143 6079 5023 1758 1161 3307 3357 3189 2575 2112 6970 5496 6622 9834 8032 42432 0.0727551879437488 0.00126187645093586 0.0981255116037932 0.0510773791004466 0.0389377546578088 0.0233192789319895 0.021774972209603 0.216606526815212 0.052928577105874 0.124021609516669 0.222728113816557 0.076463211847362
2953 13 4212 2258 1508 790 1461 8756 2491 5060 9196 3252 2953 1663 5277 5501 4892 3808 3763 11116 9299 10677 15779 12915 1303 598 2034 2117 1874 1506 1403 4308 3682 4094 6116 5076 1650 1065 3243 3384 3018 2302 2360 6808 5617 6583 9663 7839 41950 0.0699185326177661 0.00051190063721883 0.0989166933791116 0.054097484160806 0.0349278509558924 0.0185141655168887 0.0344545440033053 0.208682344482924 0.0616064771647622 0.119330080975414 0.220058432285088 0.0789814938208227
3111 19 4009 2532 1205 952 1131 8702 2993 4554 9203 3444 3111 1830 5180 5707 4745 3918 3498 10823 9624 10499 15685 12937 1300 659 2005 2167 1779 1551 1377 4192 3679 4017 6192 5025 1811 1171 3175 3540 2966 2367 2121 6631 5945 6482 9493 7912 41855 0.0765988678403747 0.000440420355447065 0.0947996269807205 0.0611320345508632 0.0291043342793759 0.0232121980381754 0.0267544832945307 0.208388019645186 0.0688276266424426 0.111520759403242 0.217347991542521 0.0818736374271201
3067 13 4027 2687 1313 1003 1292 8320 3091 4562 9029 3472 3067 1776 5181 5897 4993 4134 3871 10731 9654 10519 15501 12938 1304 622 1971 2217 1862 1555 1460 4168 3697 4047 6035 5051 1763 1154 3210 3680 3131 2579 2411 6563 5957 6472 9466 7887 41876 0.0731254843428179 0.000220508839104281 0.0974174228090378 0.0648531992539025 0.0327150991988085 0.0253381609284674 0.0285743998547143 0.196631241530177 0.0753775668027481 0.109592764343217 0.214164275654954 0.0819898764420509
3167 3 3575 2338 1476 988 1385 8465 2974 4863 9587 3048 3167 1835 4778 5274 4683 3840 3729 10769 9569 10690 16221 12931 1335 632 1842 2067 1831 1496 1425 4174 3742 4056 6338 4942 1832 1203 2936 3207 2852 2344 2304 6595 5827 6634 9883 7989 41869 0.0747615353157935 5.65875344116249e-05 0.0854889152058217 0.056426842864424 0.0341485275080142 0.0240402974288015 0.0328578786958787 0.202640406483862 0.0710707018433454 0.117386138106297 0.228468416179184 0.0726537528341663
3179 14 3864 2298 1504 1287 1092 8661 2774 4383 10277 2580 3179 1902 5106 5409 4795 4247 3712 10978 9483 10301 16471 12751 1291 660 1995 2118 1835 1627 1395 4269 3565 4107 6300 4947 1888 1242 3111 3291 2960 2620 2317 6709 5918 6194 10171 7804 41913 0.0740250030508606 0.000391239738447574 0.0926391769269411 0.0536987220932189 0.0365614695079207 0.0310846026907223 0.0264957422251358 0.212208968201911 0.0658756635855354 0.100765303546488 0.244849997893796 0.0614041105390231
3106 1 3959 2327 1402 1115 1400 8586 3109 4475 9776 3110 3106 1813 5125 5473 4728 4021 3848 10955 9811 10485 16149 13017 1294 647 1979 2147 1822 1573 1479 4253 3801 4112 6242 5060 1812 1166 3146 3326 2906 2448 2369 6702 6010 6373 9907 7957 42366 0.074069924026542 5.10198309131419e-06 0.0945583369786585 0.0556313105371038 0.0326980850742967 0.026904247370292 0.0304062827327373 0.201674131729795 0.0748383899939775 0.105031242578147 0.229492336850026 0.0746906101453332
2960 54 3927 2573 1295 1040 1416 8917 2566 4776 10072 2772 2960 1815 5110 5716 4853 4016 3903 11334 9540 10655 16642 13115 1199 632 1967 2158 1877 1529 1486 4360 3661 4085 6299 5034 1761 1183 3143 3558 2976 2487 2417 6974 5879 6570 10343 8081 42368 0.0710601783968006 0.00143248590136535 0.0919279517717722 0.0613856677874952 0.0310353448384207 0.024687769459649 0.0325517265122487 0.209025532591531 0.0595224132010551 0.110790496286916 0.240579081370218 0.0660013518825278
3112 34 4275 2543 1305 1120 915 9010 3003 4314 10190 2595 3112 1859 5444 5971 4997 4186 3474 11142 9852 10402 16512 12771 1287 690 2016 2279 1931 1627 1342 4293 3764 4080 6336 4984 1825 1169 3428 3692 3066 2559 2132 6849 6088 6322 10176 7787 42416 0.0725415692349075 0.000697906284748997 0.0980791552630708 0.0602528334105193 0.0306624501348572 0.0246157170192923 0.0222508570149015 0.213618416899332 0.0719418589548197 0.104219781494469 0.23867579897447 0.0624436553146125
