"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
3453 2 4176 2707 1533 961 1266 9191 2795 4817 9952 2908 3453 2091 5585 6207 5424 4383 4055 11792 10234 11317 17090 13680 1364 682 2085 2316 2002 1594 1454 4353 3734 4179 6318 5117 2089 1409 3500 3891 3422 2789 2601 7439 6500 7138 10772 8563 43761 0.0780313537395151 0.000106742027370782 0.0948868951695592 0.0615409518873204 0.0349866259365182 0.0230691293099087 0.0296545870624892 0.209094271528835 0.0642092219592775 0.110504379640251 0.226992746178946 0.0669230955600095
3490 8 3785 2660 1515 984 1554 9140 2678 5958 9843 2425 3490 2129 5211 5912 5227 4233 4206 11787 10008 12213 17641 13588 1369 703 1959 2200 1978 1581 1559 4457 3753 4415 6478 5027 2121 1426 3252 3712 3249 2652 2647 7330 6255 7798 11163 8561 44040 0.0801761236159982 0.00023992888949151 0.0875195303364943 0.0596972746740451 0.0332492760771645 0.0220956262357838 0.0350426244596822 0.208062437109358 0.0614350244152747 0.134709336174463 0.221869193669497 0.0559036243427475
3399 17 4580 2511 1501 973 1145 9427 2643 4921 11009 2255 3399 2036 5921 6280 5434 4364 3847 11869 10082 11209 18100 13696 1380 695 2152 2347 2043 1662 1405 4430 3794 4118 6659 5133 2019 1341 3769 3933 3391 2702 2442 7439 6288 7091 11441 8563 44381 0.0781269351792939 0.00048434072894963 0.104125677592311 0.057801411698259 0.0343691609776595 0.0227923961647402 0.0250217012936637 0.210883572633128 0.0586788807893196 0.109846064288181 0.247957969896111 0.0499118887583835
3237 21 4243 2913 1294 1026 918 9450 2476 5513 10660 1775 3237 1952 5519 6331 5350 4412 3704 11763 9883 11682 18040 13211 1306 676 2101 2275 1964 1626 1391 4356 3714 4302 6604 4946 1931 1276 3418 4056 3386 2786 2313 7407 6169 7380 11436 8265 43526 0.0756246112707829 0.000628289826617795 0.0958761345977723 0.0673097504691786 0.0303630409907374 0.0238639412885055 0.0211120259277817 0.215662249290621 0.0565283005257232 0.126053208016225 0.245768402918618 0.0412100448774361
3452 16 4235 2559 1341 1075 1360 9157 2209 5554 9675 2313 3452 2049 5604 6145 5223 4335 4125 11795 9537 11549 16931 12920 1419 680 2018 2263 1963 1570 1487 4467 3542 4293 6324 4869 2033 1369 3586 3882 3260 2765 2638 7328 5995 7256 10607 8051 42946 0.0786222130790291 0.000322230248450454 0.0986197064866381 0.0586358664948393 0.0322080060507103 0.0248794976631904 0.032506459308718 0.214467033091424 0.0513486946253987 0.12780861994158 0.22624350733162 0.0543381656784023
3244 17 4149 2437 1417 1178 1055 9358 2689 5451 9653 2740 3244 1992 5452 5898 5097 4358 3852 11806 10119 11827 17177 13448 1269 689 1991 2218 1917 1561 1404 4376 3743 4303 6469 5046 1975 1303 3461 3680 3180 2797 2448 7430 6376 7524 10708 8402 43388 0.0732128981012438 0.000537403389075482 0.0944106445345197 0.0550653737276545 0.034250711014391 0.027934132370136 0.0250937855339959 0.213552577754784 0.063185136913538 0.125910840603918 0.223603190933775 0.0632433051229673
3243 9 3951 2697 1403 1324 994 9289 2736 5219 10096 3009 3243 1948 5224 5949 5114 4512 3867 11707 10163 11561 17363 13978 1304 675 1972 2238 1926 1639 1449 4280 3821 4294 6394 5191 1939 1273 3252 3711 3188 2873 2418 7427 6342 7267 10969 8787 43970 0.0715470758438191 0.000126943387762178 0.0899952497296302 0.0613807764745006 0.0319936305014649 0.0295483857459551 0.0234998924592482 0.213780057813593 0.0639358001229981 0.118433373679038 0.227264158305618 0.0684946559363722
3372 29 4058 2388 1565 1313 1106 9363 2613 4956 10110 2879 3372 2055 5421 5813 5216 4518 3988 11950 10100 11289 17144 13725 1346 692 1996 2162 2011 1636 1401 4463 3767 4255 6298 5089 2026 1363 3425 3651 3205 2882 2587 7487 6333 7034 10846 8636 43752 0.0774213376261066 0.000689179381380363 0.092181474034413 0.0537200946007922 0.0350203543994261 0.0299834807194432 0.0250906804917864 0.216585734839474 0.061041203131469 0.112632762378382 0.232709831114301 0.0629238672830265
3556 2 3940 2504 1488 1156 1291 9294 2769 4840 10250 2493 3556 2119 5352 5872 5148 4403 4034 11833 10216 11358 17412 13508 1439 707 1984 2212 1901 1660 1495 4386 3698 4196 6397 5121 2117 1412 3368 3660 3247 2743 2539 7447 6518 7162 11015 8387 43583 0.080353323351221 0.000140066211713144 0.0904484239703591 0.0576906156488862 0.0344531507639101 0.0264077697937166 0.0292359048689544 0.214107385535351 0.0632139262660525 0.114115777263427 0.234264207272952 0.0555694490534567
3243 3 4368 2288 1440 1211 1222 9302 2536 5252 10359 2920 3243 1899 5588 5807 5089 4404 3983 11830 9903 11478 17632 14046 1347 679 2069 2158 1896 1643 1455 4463 3677 4205 6506 5165 1896 1220 3519 3649 3193 2761 2528 7367 6226 7273 11126 8881 44144 0.0730532826440168 7.51671298919635e-05 0.0981429131238213 0.0517782426896518 0.0325806915470871 0.0277394050281115 0.0276554267716673 0.210481971272176 0.0574308336826306 0.118278118311122 0.234870419166187 0.0679135286336372
3203 16 3965 2908 1409 1305 1381 9411 2298 5788 10016 2234 3203 1939 5233 6137 5229 4568 4240 12091 9886 11955 17555 13306 1280 671 2004 2317 1966 1709 1560 4503 3719 4416 6483 4868 1923 1268 3229 3820 3263 2859 2680 7588 6167 7539 11072 8438 43934 0.0728525716477164 0.000349654231455653 0.0898230356429518 0.0641961097299852 0.0318223814038599 0.0295683332326999 0.0315146881389929 0.212969797581431 0.0547307283605872 0.134006196179618 0.227459903736528 0.0507066001141742
3256 42 4017 2806 1438 898 1263 9403 2320 5265 10757 2561 3256 2005 5343 6173 5292 4235 3877 11847 9746 11295 17819 13722 1293 679 1976 2319 1955 1621 1433 4421 3716 4233 6658 5061 1963 1326 3367 3854 3337 2614 2444 7426 6030 7062 11161 8661 44026 0.0732894398403857 0.00118709140728904 0.0931779733109641 0.0629820433708664 0.0318528168072576 0.0207239481581284 0.0275834793290569 0.21477298380476 0.0537379927622611 0.118575840680504 0.243764326333125 0.0583520641954015
3139 12 4107 3387 1127 1011 1130 9423 2243 4470 11002 2721 3139 1846 5335 6716 5376 4417 3966 11923 9763 10653 17612 13811 1305 618 2006 2467 1970 1581 1466 4403 3580 4043 6522 5072 1834 1228 3329 4249 3406 2836 2500 7520 6183 6610 11090 8739 43772 0.0725271688880911 0.000195493443048742 0.093777574634284 0.0787007911170031 0.0255855490983853 0.0229254654021189 0.0245155928170516 0.215552705180662 0.0506987997324696 0.101906343633449 0.250022373124629 0.0635921429288085
3320 0 3927 3059 1367 1259 943 9702 2402 4639 10330 2601 3320 2008 5229 6321 5367 4680 3918 12191 10084 10999 17264 13340 1312 706 1967 2321 1946 1705 1429 4509 3724 4065 6525 4987 2008 1302 3262 4000 3421 2975 2489 7682 6360 6934 10739 8353 43549 0.0780636422759454 5.85986540717403e-05 0.0906351736445453 0.0694488592829933 0.0308352513524855 0.0278378977501549 0.0229495547588034 0.22384349743296 0.0559073322259787 0.106856577857656 0.233420458873 0.0601431558914059
3413 8 4015 2792 1163 1378 998 9759 2442 5096 10261 2847 3413 2061 5416 6186 5085 4557 3876 12207 10123 11366 17424 13827 1360 660 2022 2264 1906 1679 1428 4526 3853 4203 6444 5052 2053 1401 3394 3922 3179 2878 2448 7681 6270 7163 10980 8775 44172 0.0773606455575468 0.000188462601226564 0.0909156688695226 0.0631264828832426 0.0264827842754908 0.0306353615506226 0.0217787552127748 0.220747092600199 0.0544986885402433 0.114216584493462 0.234200409628486 0.0658490637871822
3104 10 4503 2606 1101 1193 1316 9671 2247 4916 10041 3221 3104 1840 5698 6214 5036 4349 4075 12237 9953 11132 16987 13957 1274 645 2090 2279 1880 1590 1509 4531 3737 4186 6251 5080 1830 1195 3608 3935 3156 2759 2566 7706 6216 6946 10736 8877 43929 0.0691660405252409 0.000246701983853901 0.102800933540548 0.0595547513665966 0.024409905780385 0.0278434482628908 0.0295796604517796 0.220745570918712 0.0504636977575423 0.112647140334421 0.227635210577798 0.0749069385002321
3347 1 4483 2565 1026 1259 1156 9398 2853 4927 10344 2798 3347 2034 5802 6247 4935 4327 3879 11865 10340 11407 17514 13793 1314 715 2120 2338 1867 1604 1412 4378 3860 4237 6519 5154 2033 1319 3682 3909 3068 2723 2467 7487 6480 7170 10995 8639 44157 0.0761081084851991 6.42944776117062e-05 0.102818407893667 0.0568840408758288 0.0230641388929526 0.0286745805698333 0.0256935641663501 0.210968617772355 0.0658964483696374 0.109342397160616 0.237349234099134 0.0631361672368146
3342 4 4325 2966 1034 923 1323 9421 3099 4803 10620 2624 3342 2009 5609 6464 5144 4130 3865 11885 10495 11480 17967 13999 1337 725 2111 2354 1937 1588 1401 4489 3818 4133 6592 5169 2005 1284 3498 4110 3207 2542 2464 7396 6677 7347 11375 8830 44484 0.0756610547508983 0.000128317025152083 0.098659564924079 0.0645028721178342 0.0236848156305044 0.0220559024170544 0.0306802228508767 0.21163535730538 0.0719171002168925 0.107760685859875 0.235216501740514 0.0580976051609391
3203 24 4098 3012 1014 1177 1424 9540 2602 4741 10910 1939 3203 1932 5362 6346 4941 4224 4088 12123 10193 11174 17887 13250 1295 668 2028 2419 1894 1560 1505 4532 3760 4197 6576 4985 1908 1264 3334 3927 3047 2664 2583 7591 6433 6977 11311 8265 43684 0.0735091893462424 0.000488991762575908 0.0940943365763023 0.0690088024371314 0.0228945210565562 0.0267866373396724 0.0328074808037657 0.215906851386692 0.0586469194019476 0.109562564280322 0.252155543217124 0.0441381623916683
3314 2 3903 3093 1086 896 1190 9483 2537 4627 10754 2268 3314 2031 5235 6421 5216 4165 3784 11833 9996 10927 17647 13537 1285 699 1907 2291 1947 1571 1434 4374 3696 4034 6378 5021 2029 1332 3328 4130 3269 2594 2350 7459 6300 6893 11269 8516 43153 0.0750773889883105 4.0713232658431e-05 0.0903934638246364 0.0712726791016684 0.0250233987178168 0.0201490470559896 0.029239240127856 0.222031290073732 0.0597193100045167 0.105822471941474 0.247694784421889 0.053536212509452
3291 38 4153 3023 1267 927 1098 9856 2617 4901 10288 1757 3291 2005 5453 6422 5355 4278 3765 12231 10414 11440 17528 12806 1324 705 2054 2334 2004 1611 1390 4434 3875 4200 6479 4855 1967 1300 3399 4088 3351 2667 2375 7797 6539 7240 11049 7951 43216 0.0752803694100875 0.000608504397812059 0.0938104562695488 0.0696695612717753 0.0286300046336768 0.0220822695879956 0.0250315162459214 0.229726521271147 0.0628543715902579 0.111639992893333 0.238941167614484 0.0417252648139598
3379 12 4093 2785 1434 874 1209 9515 2231 4911 10743 2114 3379 2075 5510 6282 5394 4241 3868 11970 9716 10997 17624 13247 1316 658 2013 2322 2027 1582 1413 4485 3630 4116 6491 4989 2063 1417 3497 3960 3367 2659 2455 7485 6086 6881 11133 8258 43300 0.0774711570071755 0.000346828826564567 0.0949755599290908 0.0635344117854499 0.0338838775337764 0.019612072088689 0.0289319561899456 0.219153371769132 0.0518564112463081 0.114834919244555 0.247322419654471 0.0480770147248418
3119 27 4078 2596 1559 1181 1175 9503 2359 5267 10240 2311 3119 1885 5314 5930 5224 4492 3987 12001 9939 11535 17490 13353 1261 649 1980 2265 1913 1680 1489 4421 3671 4285 6448 4954 1858 1236 3334 3665 3311 2812 2498 7580 6268 7250 11042 8399 43415 0.0713199712500556 0.000496333696890083 0.095515894911019 0.0606768614771778 0.0358603720596036 0.0279980132367183 0.0285114891805581 0.218469093423935 0.0534562443377811 0.12153864046473 0.234505816039982 0.0516512699215489
