"B[1]" "B[2]" "B[3]" "B[4]" "B[5]" "B[6]" "B[7]" "B[8]" "B[9]" "B[10]" "B[11]" "B[12]" "N[1]" "N[2]" "N[3]" "N[4]" "N[5]" "N[6]" "N[7]" "N[8]" "N[9]" "N[10]" "N[11]" "N[12]" "N.nest[1]" "N.nest[2]" "N.nest[3]" "N.nest[4]" "N.nest[5]" "N.nest[6]" "N.nest[7]" "N.nest[8]" "N.nest[9]" "N.nest[10]" "N.nest[11]" "N.nest[12]" "N.walk[1]" "N.walk[2]" "N.walk[3]" "N.walk[4]" "N.walk[5]" "N.walk[6]" "N.walk[7]" "N.walk[8]" "N.walk[9]" "N.walk[10]" "N.walk[11]" "N.walk[12]" "Ntot" "b[1]" "b[2]" "b[3]" "b[4]" "b[5]" "b[6]" "b[7]" "b[8]" "b[9]" "b[10]" "b[11]" "b[12]"
2746 1 3802 2177 909 1008 1218 8574 1784 4273 8857 2180 2746 1624 4877 5260 4239 3683 3515 10790 8585 9645 15010 11595 1123 549 1794 1930 1564 1386 1299 3989 3213 3492 5595 4260 1623 1075 3083 3330 2675 2297 2216 6801 5372 6153 9415 7335 37529 0.0721207429776252 2.42662747352456e-05 0.101966005889057 0.0606204002838025 0.0243008606269369 0.0269668029635615 0.032663830207204 0.223995926395666 0.0471447757768188 0.113510730937376 0.238747456694086 0.057938200973131
2719 9 3620 2300 862 1116 1011 8453 2177 4089 8387 2818 2719 1644 4696 5219 4148 3710 3354 10547 8873 9691 14526 11920 1084 568 1777 1933 1554 1367 1260 3851 3271 3552 5424 4388 1635 1076 2919 3286 2594 2343 2094 6696 5602 6139 9102 7532 37561 0.0725596938429755 0.00020822941524265 0.0945827647879534 0.0615099704015298 0.0246256835476606 0.0316162119468011 0.0262871532321235 0.223348034873731 0.0569852423771806 0.108230400292388 0.223338621446992 0.0767079938354218
2872 4 3622 2315 937 1001 1122 8012 2447 4399 9125 2447 2872 1700 4740 5289 4241 3614 3396 10095 8760 9929 15388 12122 1176 582 1766 1985 1628 1340 1313 3782 3230 3666 5713 4463 1696 1118 2974 3304 2613 2274 2083 6313 5530 6263 9675 7659 38303 0.0743657060236509 0.000137141787573914 0.0943415240759458 0.0602274158773145 0.0237497980107368 0.0260446342734483 0.0297587991708463 0.212459924573146 0.0647564004394055 0.113641758507171 0.237257564643894 0.0632593326168674
2745 1 3771 2444 825 1213 928 8351 2318 3994 8613 2892 2745 1585 4809 5456 4288 3886 3417 10496 8902 9612 14718 12120 1161 547 1797 1993 1615 1397 1272 3912 3284 3507 5490 4475 1584 1038 3012 3463 2673 2489 2145 6584 5618 6105 9228 7645 38095 0.0726553249035394 9.91662769077975e-05 0.0993863979956341 0.0644258424599252 0.021952231843206 0.0304244896535701 0.0226199772396494 0.218377066766022 0.0625726161243551 0.102972742814767 0.226762704498647 0.0777514394237775
2828 0 3410 2779 721 1332 774 8309 2606 4208 8687 2208 2828 1715 4552 5594 4302 4004 3360 10444 9194 10101 15053 11639 1113 573 1737 2013 1630 1418 1225 3856 3301 3735 5622 4332 1715 1142 2815 3581 2672 2586 2135 6588 5893 6366 9431 7307 37862 0.0745038069711306 2.02912606556425e-05 0.0896935133923778 0.0732116921857003 0.0179174828401118 0.0341034661336404 0.0212094093124612 0.224354587964478 0.0684841458977787 0.110314481035923 0.22759734081334 0.0585897821924024
2917 2 3356 2931 641 1021 822 8379 2607 4018 8986 1858 2917 1723 4517 5752 4344 3791 3163 10338 9174 9798 15131 11389 1196 562 1696 2049 1574 1450 1204 3771 3394 3653 5600 4325 1721 1161 2821 3703 2770 2341 1959 6567 5780 6145 9531 7064 37538 0.0766660408523926 0.000129359595967914 0.0877983258369965 0.0809620725864407 0.0168958134699642 0.0279780797041334 0.0220569882515756 0.219481056533688 0.0716735511409833 0.106466766499216 0.240578329606123 0.0493136159225193
2799 19 3332 2964 591 1230 1046 7932 2540 4273 9252 2091 2799 1677 4436 5739 4187 3866 3429 10095 8951 9990 15491 11819 1141 573 1661 2143 1551 1483 1266 3684 3234 3751 5763 4416 1658 1104 2775 3596 2636 2383 2163 6411 5717 6239 9728 7403 38069 0.075137677566376 0.000516316672031818 0.0869240520488674 0.0790295785311685 0.0152128826477653 0.031874550662422 0.0276977987132615 0.208110377378041 0.0666925065101397 0.112615383714836 0.240252299254683 0.055936576300407
2742 0 3644 2768 961 921 990 8417 2429 3908 8754 2549 2742 1591 4696 5681 4633 3875 3427 10562 9076 9691 14832 11793 1151 539 1783 2009 1679 1438 1282 3915 3293 3613 5588 4423 1591 1052 2913 3672 2954 2437 2145 6647 5783 6078 9244 7370 38083 0.07361622716128 5.2726225506424e-05 0.0951652971654229 0.0719588145447836 0.0246431793691004 0.0253935565388641 0.0271203779701494 0.221641560348623 0.0627279190541505 0.101826196770563 0.229144380699532 0.066709764152025
2817 20 3642 2325 1358 552 1201 8180 2281 4415 8919 2511 2817 1686 4768 5312 4713 3570 3400 10336 8769 9908 15177 12123 1151 560 1781 1957 1695 1371 1244 3848 3276 3650 5565 4499 1666 1126 2987 3355 3018 2199 2156 6488 5493 6258 9612 7624 38221 0.075494349275729 0.000528757742123989 0.0949197694599293 0.061590942105144 0.0363501620234758 0.0152895813932009 0.0312925003826232 0.212525755432565 0.0635715668429659 0.115661534584603 0.227683029444392 0.0650920513132486
2889 17 3410 2278 1171 1055 1125 8871 2031 3832 9482 2029 2889 1721 4585 5085 4344 3723 3416 11001 9065 9537 15342 11701 1185 546 1778 1912 1676 1432 1286 3967 3360 3677 5670 4254 1704 1175 2807 3173 2668 2291 2130 7034 5705 5860 9672 7447 38190 0.076550592927404 0.000567989561947824 0.087609750201671 0.0617414412072822 0.0311787810142473 0.0277563651888995 0.0290964131325342 0.229751851773881 0.0524631878140736 0.101523542457229 0.247303489349148 0.0544565953716827
