id,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,1-Oct,2-Oct,3-Oct,4-Oct
D2,3,3,3,1,3,3,3,NA,3,3,1,3
D3,3,3,3,3,3,3,3,NA,3,3,3,3
D4,3,3,3,3,3,3,3,NA,3,3,3,3
D5,3,3,3,3,3,3,3,NA,2,3,3,3
D6,3,3,3,3,3,3,3,NA,3,3,3,3
D7,3,3,3,3,3,3,3,NA,3,3,3,3
D8,3,3,3,3,3,3,3,NA,1,3,3,3
D9,3,3,3,3,3,3,3,NA,3,3,3,3
D0,3,3,3,3,3,3,3,NA,3,3,3,3
E1,3,3,3,3,3,3,3,NA,3,3,3,3
E2,3,3,3,3,3,3,3,NA,3,3,3,3
E3,3,3,3,3,3,3,3,NA,3,3,3,3
E4,3,3,3,3,3,3,3,NA,3,3,3,3
E5,3,3,3,3,3,3,3,NA,3,3,3,3
E6,3,3,3,3,3,3,3,NA,3,3,3,3
E7,3,3,3,3,3,3,3,NA,2,3,3,3
E8,3,3,3,3,3,3,3,NA,3,3,3,3
E9,3,3,3,3,3,3,3,NA,3,3,3,3
E0,3,3,3,3,3,3,3,NA,3,3,3,3
F1,3,3,3,3,3,3,3,NA,3,3,3,3
F2,3,3,3,3,3,3,3,NA,3,3,3,3
F3,3,3,3,3,3,3,3,NA,3,3,3,3
F4,3,3,3,3,3,3,3,NA,3,3,3,3
F5,3,3,3,3,3,3,3,NA,3,3,3,3
F6,3,3,3,3,3,3,3,NA,3,3,3,3
F7,3,1,3,3,3,3,3,NA,3,3,3,3
F8,3,3,3,3,3,3,3,NA,3,3,3,3
F9,3,3,3,3,3,3,3,NA,3,3,3,3
F0,3,3,3,3,3,3,3,NA,3,3,3,3
G1,3,3,3,3,3,3,3,NA,3,3,3,3
G2,3,3,3,3,3,3,3,NA,3,3,3,3
G3,3,3,3,3,3,3,3,NA,3,3,3,3
G4,3,3,3,3,3,3,3,NA,3,3,3,3
G5,3,3,3,3,3,3,3,NA,3,3,3,3
G6,3,3,3,3,3,3,3,NA,3,3,3,3
G7,3,3,3,3,3,3,3,NA,3,3,3,2
